Model Name	Model	Dataset	Epochs	Local Epochs	Local Batch Size	Learning Rate	Optimizer	IID	Accuracy
fedasync for eurosat	cnn	eurosat	10	30	8	0.01	sgd	0	0.180740741
fedasync for eurosat	cnn	eurosat	10	30	20	0.01	sgd	0	0.18
fedasync for eurosat	cnn	eurosat	10	30	32	0.01	sgd	0	0.222592593
fedleo for eurosat	cnn	eurosat	10	10	8	0.01	sgd	0	0.417777778
fedleo for eurosat	cnn	eurosat	10	10	20	0.01	sgd	0	0.282222222
fedleo for eurosat	cnn	eurosat	10	10	32	0.01	sgd	0	0.28
fedleo for eurosat	cnn	eurosat	10	20	8	0.01	sgd	0	0.387962963
fedleo for eurosat	cnn	eurosat	10	20	20	0.01	sgd	0	0.346481481
fedleo for eurosat	cnn	eurosat	10	20	32	0.01	sgd	0	0.315
fedleo for eurosat	cnn	eurosat	10	30	8	0.01	sgd	0	0.462222222
fedleo for eurosat	cnn	eurosat	10	30	20	0.01	sgd	0	0.370925926
fedleo for eurosat	cnn	eurosat	10	30	32	0.01	sgd	0	0.304444444
fedasync for cifar	 cnn	 cifar	5	10	8	0.01	sgd	1	0.113518519
fedasync for cifar	 cnn	 cifar	5	10	20	0.01	sgd	1	0.210740741
fedasync for cifar	 cnn	 cifar	5	10	32	0.01	sgd	1	0.09037037
fedasync for cifar	 cnn	 cifar	5	20	8	0.01	sgd	1	0.191481481
fedasync for cifar	 cnn	 cifar	5	20	20	0.01	sgd	1	0.072962963
fedasync for cifar	 cnn	 cifar	5	20	32	0.01	sgd	1	0.149074074
fedasync for cifar	 cnn	 cifar	5	30	8	0.01	sgd	1	0.19962963
fedasync for cifar	 cnn	 cifar	5	30	20	0.01	sgd	1	0.109259259
fedasync for cifar	 cnn	 cifar	5	30	32	0.01	sgd	1	0.186666667
fedleo for cifar	 cnn	 cifar	5	10	8	0.01	sgd	1	0.234259259
fedleo for cifar	 cnn	 cifar	5	10	20	0.01	sgd	1	0.236111111
fedleo for cifar	 cnn	 cifar	5	10	32	0.01	sgd	1	0.172037037
fedleo for cifar	 cnn	 cifar	5	20	8	0.01	sgd	1	0.336481481
fedleo for cifar	 cnn	 cifar	5	20	20	0.01	sgd	1	0.22462963
fedleo for cifar	 cnn	 cifar	5	20	32	0.01	sgd	1	0.234259259
fedleo for cifar	 cnn	 cifar	5	30	8	0.01	sgd	1	0.381666667
fedleo for cifar	 cnn	 cifar	5	30	20	0.01	sgd	1	0.211666667
fedleo for cifar	 cnn	 cifar	5	30	32	0.01	sgd	1	0.278888889
fedasync for eurosat	 resnet18	 eurosat	5	10	8	0.01	sgd	0	0.141296296
fedasync for eurosat	 resnet18	 eurosat	5	10	20	0.01	sgd	0	0.108148148
fedasync for eurosat	 resnet18	 eurosat	5	10	32	0.01	sgd	0	0.111851852
fedasync for eurosat	 resnet18	 eurosat	5	20	8	0.01	sgd	0	0.128518519
fedasync for eurosat	 resnet18	 eurosat	5	20	20	0.01	sgd	0	0.089814815
fedasync for eurosat	 resnet18	 eurosat	5	20	32	0.01	sgd	0	0.141666667
fedasync for eurosat	 resnet18	 eurosat	5	30	8	0.01	sgd	0	0.141111111
fedasync for eurosat	 resnet18	 eurosat	5	30	20	0.01	sgd	0	0.118518519
fedasync for eurosat	 resnet18	 eurosat	5	30	32	0.01	sgd	0	0.127037037
fedleo for eurosat	 resnet18	 eurosat	5	10	8	0.01	sgd	0	0.2801277775200003
fedleo for eurosat	 resnet18	 eurosat	5	10	20	0.01	sgd	0	0.23734444435999993
fedleo for eurosat	 resnet18	 eurosat	5	10	32	0.01	sgd	0	0.20909999992000006
fedleo for eurosat	 resnet18	 eurosat	5	20	8	0.01	sgd	0	0.3297111108200001
fedleo for eurosat	 resnet18	 eurosat	5	20	20	0.01	sgd	0	0.249640741
fedleo for eurosat	 resnet18	 eurosat	5	20	32	0.01	sgd	0	0.24925555543000044
fedleo for eurosat	 resnet18	 eurosat	5	30	8	0.01	sgd	0	0.367505808
fedleo for eurosat	 resnet18	 eurosat	5	30	20	0.01	sgd	0	0.2570735779899999
fedleo for eurosat	 resnet18	 eurosat	5	30	32	0.01	sgd	0	0.27354444447000015
fedasync for eurosat	cnn	eurosat	5	10	8	0.01	sgd	0	0.13771851850999997
fedasync for eurosat	cnn	eurosat	5	10	20	0.01	sgd	0	0.14986481488000009
fedasync for eurosat	cnn	eurosat	5	10	32	0.01	sgd	0	0.130796297
fedasync for eurosat	cnn	eurosat	5	20	8	0.01	sgd	0	0.13195740763999997
fedasync for eurosat	cnn	eurosat	5	20	20	0.01	sgd	0	0.15060000022000017
fedasync for eurosat	cnn	eurosat	5	20	32	0.01	sgd	0	0.13698703707000015
fedasync for eurosat	cnn	eurosat	5	30	8	0.01	sgd	0	0.15507962974999998
fedasync for eurosat	cnn	eurosat	5	30	20	0.01	sgd	0	0.15067222245000003
fedasync for eurosat	cnn	eurosat	5	30	32	0.01	sgd	0	0.16317222236999995
fedleo for eurosat	cnn	eurosat	5	10	8	0.01	sgd	0	0.2834222219900003
fedleo for eurosat	cnn	eurosat	5	10	20	0.01	sgd	0	0.24015555546999995
fedleo for eurosat	cnn	eurosat	5	10	32	0.01	sgd	0	0.21389444437000005
fedleo for eurosat	cnn	eurosat	5	20	8	0.01	sgd	0	0.331996296
fedleo for eurosat	cnn	eurosat	5	20	20	0.01	sgd	0	0.25577222230999996
fedleo for eurosat	cnn	eurosat	5	20	32	0.01	sgd	0	0.2517703702400005
fedleo for eurosat	cnn	eurosat	5	30	8	0.01	sgd	0	0.37168518529000005
fedleo for eurosat	cnn	eurosat	5	30	20	0.01	sgd	0	0.263916667
fedleo for eurosat	cnn	eurosat	5	30	32	0.01	sgd	0	0.2743333333400002
